GIACR,German Orthography 1,German Orthography 2,Formats,Notes,Source
Schoregge,Schoregge,,1,,
Schott,Schott,,1,,
Schrader,Schrader,,1,,
Schrak,Schrak,,1,,
Schramm,Schramm,,1,,
Schrepel,Schrepel,,1,,
Schriefer,Schriefer,,1,,
Schroeder,Schröder,,1,,
Schuchmann,Schuchmann,,1,,
Schuetz,Schütz,,1,,
Schuhmacher,Schuhmacher,,1,,
Schuldes,Schuldes,,1,,
Schulte,Schulte,,1,,
Schulz,Schulz,,1,,
Schulze,Schulze,,1,,
Schumacher,Schumacher,,1,,
Schunk,Schunk,,1,,
Schunmeier,Schunmeier,,1,,
Schurider,Schurider,,1,,
Schuster,Schuster,,1,,
Schwab,Schwab,,1,,
Schwarz,Schwarz,,1,,
Schwarzmueller,Schwarzmüller,,1,Taken from Wikipedia.org,Link
Schweer,Schweer,,1,,
Schweizer,Schweizer,,1,,
Schwen,Schwen,,1,,
Seele,Seele,,1,,
Sehme,Sehme,,1,,
Seiss,Seiß,,1,,
Semel,Semel,,1,,
Sennewald,Sennewald,,1,,
Sennewals,Sennewals,,1,,
Sepmeier,Sepmeier,,1,,
Serner,Serner,,1,,
Sewring,Sewring,,1,,
Sibbelmeier,Sibbelmeier,,1,,
Sidekim,Sidekim,,1,,
Siebert,Siebert,,1,,
Siedendoph,Siedendoph,,1,,
Sieglitz,Sieglitz,,1,,
Siekmann,Siekmann,,1,,
Sieprasse,Sieprasse,,1,,
Sieving,Sieving,,1,,
Siewing,Siewing,,1,,
Sing,Sing,,1,,
Soecker,Söcker,,1,,
Soelter,Sölter,,1,,
Sokker,Sokker,,1,,
Sommer,Sommer,,1,,
Sommerich,Sommerich,,1,,
Sondermeier,Sondermeier,,1,,
Spahrbier,Spahrbier,,1,,
Speck,Speck,,1,,
Spengter,Spengter,,1,,
Speringmeier,Speringmeier,,1,,
Springmeier,Springmeier,,1,,
Staat,Staat,,1,,
Stahl,Stahl,,1,,
Stahlmann,Stahlmann,,1,,
Staiger,Staiger,,1,,
Stamer,Stamer,,1,,
Stegemann,Stegemann,,1,,
Stein,Stein,,1,,
Steinkamp,Steinkamp,,1,,
Steinmann,Steinmann,,1,,
Steinmeier,Steinmeier,,1,,
Steinmetz,Steinmetz,,1,,
Steitz,Steitz,,1,,
Stell,Stell,,1,,
Stemler,Stemler,,1,,
Stemmler,Stemmler,,1,,
Stemper,Stemper,,1,,
Stephen,Stephen,,1,,
Steppelwerth,Steppelwerth,,1,,
Sterthmann,Sterthmann,,1,,
Steupe,Steupe,,1,,
Sticke,Sticke,,1,,
Stiegemeier,Stiegemeier,,1,,
Stille,Stille,,1,,
Stockhov,Stockhov,,1,,
Stoener,Stöner,,1,,
Stoker,Stoker,,1,,
Stoll,Stoll,,1,,
Stork,Stork,,1,,
Storll,Storll,,1,,
Strahlmann,Strahlmann,,1,,
Stratmann,Stratmann,,1,,
Streutker,Streutker,,1,,
Stricker,Stricker,,1,,
Strining,Strining,,1,,
Strotholder,Strotholder,,1,,
Struening,Strüning,,1,,
Struthmann,Struthmann,,1,,
Sudbring,Sudbring,,1,,
Sudmeier,Sudmeier,,1,,
Suedmeier,Südmeier,,1,,
Sulzer,Sulzer,,1,,
